id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3052,"July 15, 2006 13:32",2006-07-15,2006-07-15 08:02:00 UTC,Mumbai,,211,vishalbhave,2009-07-06 21:24:48 UTC,2016-02-04 22:05:36 UTC,needs_id,CC-BY-NC-SA,http://www.inaturalist.org/observations/3052,https://static.inaturalist.org/photos/4361/medium.jpg?1444935536,,mosquito,It is Female i guess !,false,0,0,false,,"Nachane, Maharashtra, India",16.9866142273,73.3292770386,,,,false,,,Culicidae,Culicidae,Mosquitoes,Insecta,52134
9970,"July 13, 2010 12:47",2010-07-13,2010-07-13 16:47:00 UTC,Eastern Time (US & Canada),,520,johnnybirder,2011-01-19 19:34:35 UTC,2019-07-30 20:45:02 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/9970,https://static.inaturalist.org/photos/21179/medium.jpg?1444767279,,"",There are so many in Alaska!,false,3,0,false,,"Deadhorse, AK",70.222555,-148.421745,359,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
16980,2011-05-12,2011-05-12,,Pacific Time (US & Canada),,710,johngcramer,2011-05-13 00:41:33 UTC,2016-09-23 00:57:19 UTC,needs_id,,http://www.inaturalist.org/observations/16980,https://static.inaturalist.org/photos/31664/medium.JPG,,"",Insect larvae moving in stagnant water.,false,1,0,false,,"Campbell Park, Campbell, CA",37.2856817,-121.9391338,,,,false,,,mosquitoes,Culicidae,Mosquitoes,Insecta,52134
19985,2011-06-02,2011-06-02,,Central Time (US & Canada),,347,wingedwolfpsion,2011-06-03 04:26:31 UTC,2017-01-11 16:33:11 UTC,needs_id,CC0,http://www.inaturalist.org/observations/19985,https://static.inaturalist.org/photos/35874/medium.jpg,,"",Some sort of mosquito,true,1,0,false,,"Plattsmouth, NE",41.0079,-95.897141,,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
22644,"June 21, 2011 2:07:27 PM EDT",2011-06-21,2011-06-21 18:07:27 UTC,Eastern Time (US & Canada),,513,davidkroodsma,2011-06-23 18:19:39 UTC,2019-07-15 05:23:41 UTC,needs_id,,http://www.inaturalist.org/observations/22644,https://static.inaturalist.org/photos/40878/medium.jpg,,"","",false,2,0,false,,"197 Amity St, Amherst, MA 01002, USA",42.3758735657,-72.5237121582,,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
23655,2011-06-26,2011-06-26,,Pacific Time (US & Canada),,642,biosam,2011-07-01 23:39:59 UTC,2017-06-03 23:33:25 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/23655,https://static.inaturalist.org/photos/449866/medium.png?1376011849,,"","I believe this is a mosquito pupa. While searching a shallow, flooded meadow, I noticed these shrimp-like creatures wriggling somewhat tadpole like. Motile pupae! I guess baby mosquitoes never stop wriggling.",false,0,0,false,,"Gray Eagle Lodge Rd, Graeagle CA",39.7244179,-120.6594895,,,,false,,"",mosquitoes,Culicidae,Mosquitoes,Insecta,52134
43321,2011-07-11,2011-07-11,,Chennai,,3963,vipinbaliga,2011-12-16 07:19:34 UTC,2018-01-29 13:56:32 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/43321,https://static.inaturalist.org/photos/70551/medium.jpg,,"Chironomid midge female, Culicidae, Chironomoidea, Culicomorpha","Chironomid midge - female

It was smaller than an average mosquito.",false,1,0,false,,"Virajpet, S-Kodagu, India",12.2136968417,75.8277225494,,,,false,,,Stenochironomus,Stenochironomus,,Insecta,247662
49683,"May 25, 2009 18:30",2009-05-25,2009-05-26 00:30:00 UTC,Mountain Time (US & Canada),,4530,jay,2012-01-30 21:05:20 UTC,2018-05-08 18:54:11 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/49683,https://static.inaturalist.org/photos/79386/medium.jpg?1444510836,,"",American coot in background.,false,0,0,false,,brigham utah,41.4746312715,-112.2528076172,,,,false,,,Culicidae,Culicidae,Mosquitoes,Insecta,52134
69233,2012-04-22,2012-04-22,,Pacific Time (US & Canada),,5858,sheldonsophie1,2012-04-22 23:32:30 UTC,2016-03-01 21:50:11 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/69233,https://static.inaturalist.org/photos/104700/medium.jpg,,"","Larvae floating in still water.  Only about half a centimeter at most.  Don't seem to have any limbs, they just wiggle around in the water.",false,3,0,false,,3535 midway drive santa rosa california,38.450168,-122.6767,190,,,false,,,Mosquito Larvae,Culicidae,Mosquitoes,Insecta,52134
77772,2012-05-12,2012-05-12,,Central Time (US & Canada),,6437,crystalbrooks2012,2012-05-12 22:55:43 UTC,2018-04-03 14:18:03 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/77772,https://static.inaturalist.org/photos/115178/medium.JPG,,"","Kingdom:  Animalia
Phylum:  Arthropoda
Class:  Insecta
Order:  Diptera
Family:  Culicidae
Genus:  Toxorhynchites
Common Name: Mosquito hawk",false,2,0,false,,"6800 McNeil Dr., Austin, Texas, US",30.438314,-97.758172,198,,,false,,,Typical Crane Flies,Tipuloidea,Typical Crane Flies,Insecta,51226
87467,2012-06-04,2012-06-04,,Pacific Time (US & Canada),,5777,karavanslyck,2012-06-04 22:20:37 UTC,2016-02-04 22:05:30 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/87467,https://static.inaturalist.org/photos/127738/medium.jpg,,"",This mosquito is on the center leaf and a little hard to spot because of the lighting. There were mosquitoes everywhere in the park because of the creek close by and the warmer temperatures. ,false,0,0,false,,"Carkeek Park, WA",47.710866,-122.376252,394395,,,false,,,mosquitoes,Culicidae,Mosquitoes,Insecta,52134
87756,2012-06-04,2012-06-04,,Pacific Time (US & Canada),,5528,robertmarsh,2012-06-05 06:27:14 UTC,2016-05-29 19:20:20 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/87756,https://static.inaturalist.org/photos/128134/medium.jpg,,"mosquito, larvae",Larvae have round heads and tadpole like bodies. They spend their time at the surface of stagnant water in late spring and summer. They quickly sink to the bottom when disturbed or frightened.,false,1,0,false,,carnation wa,47.6520417795,-121.8937512575,1825,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
94809,"June 18, 2012 11:31",2012-06-18,2012-06-18 06:01:00 UTC,Chennai,,3963,vipinbaliga,2012-06-23 04:39:42 UTC,2019-01-16 17:10:19 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/94809,https://static.inaturalist.org/photos/138034/medium.jpg?1444537284,,"Culicidae, male mosquito, coorg, virajpet, karnataka, western ghats",A Male Mosquito,false,1,0,false,,"Virajpet, india",12.215416519,75.829675079,,,,false,,"",Toxorhynchites,Toxorhynchites,Elephant Mosquitoes,Insecta,155464
96486,2012-06-25,2012-06-25,,Pacific Time (US & Canada),,3090,zabbey,2012-06-27 00:39:14 UTC,2018-03-19 15:32:27 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/96486,https://static.inaturalist.org/photos/140382/medium.JPG,,"","",false,1,0,false,,Simi Valley,34.2536683043,-118.7928204238,,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
101815,2012-07-09,2012-07-09,,Hawaii,,8122,mle,2012-07-15 17:26:45 UTC,2019-05-29 01:49:42 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/101815,https://static.inaturalist.org/photos/147371/medium.JPG,,"","",true,1,0,false,,"Tallmadge, OH",41.1014451,-81.441779,6684,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
108089,2012-06-21,2012-06-21,,Pacific Time (US & Canada),,505,dloarie,2012-07-31 04:07:58 UTC,2016-03-01 21:50:12 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/108089,https://static.inaturalist.org/photos/154697/medium.jpg?1444549180,,"",It's easy to see why swatting them is counterproductive. ,false,0,0,false,,"Alexander Valley, CA",38.6125175746,-122.7836448434,,,,false,,,mosquitoes,Culicidae,Mosquitoes,Insecta,52134
123840,2012-09-14,2012-09-14,,Pacific Time (US & Canada),,3090,zabbey,2012-09-16 23:58:50 UTC,2016-03-01 21:50:13 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/123840,https://static.inaturalist.org/photos/175971/medium.JPG,,"","",true,0,0,false,,Calleguas Creek,34.1177469963,-119.0790832043,,,,false,,,mosquitoes,Culicidae,Mosquitoes,Insecta,52134
146216,"November 10, 2012 13:29",2012-11-10,2012-11-10 21:29:00 UTC,Pacific Time (US & Canada),,5692,justin2,2012-11-11 00:59:09 UTC,2016-10-08 04:55:15 UTC,needs_id,CC0,http://www.inaturalist.org/observations/146216,https://static.inaturalist.org/photos/201784/medium.JPG?1444793434,,"","""Wrigglers"" in a stagnant pool near the river. In the city, I would assume mosquito larva. Or something else entirely? No idea.",false,1,0,false,,Confluence,38.915981,-121.038139,,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
